algo
alguien
alguno
alguna
algunos
algunas
ambas
ambos
aquel
aquél
aquello
aquella
aquellos
aquellas
aquéllo
aquella
aquéllos
aquéllas
aqueste
aquesta
aquestes
aquestas
aquesto
aquestos
conmigo
consigo
contigo
cualesquiera
cualquiera
cual
cuales
cuál
cuales
cuanto
cuanta
cuantos
cuantas
cuánto
cuanta
cuántos
cuántas
cuyo
cuyá
cuyos
cuyas
él
ella
ellas
ello
ellos
ése
ese
esa
eses
esas
éso
esa
esos
esas
eso
esos
esotro
esotra
esotros
esotras
éste
este
esta
estes
estas
ésto
esta
estos
estas
esto
estos
estotro
estotra
estotros
estotras
ge
ídem
la
las
le
les
lle
lo
los
me
menda
mí
mía
mío
mía
míos
mías
nada
nadie
ninguna
ninguno
nonada
nos
nosotras
nosotros
nuestro
nuestra
nuestros
nuestras
os
que
qué
qui
quién
quiénes
quienquiera
quien
quienes
se
sí
so
suyo
suya
suyos
suyas
talque
te
ti
tú
tuyo
tuya
tuyos
tuyas
una
uno
usted
ustedes
vos
vosotros
vosotrosa
vosotroses
vosotrosas
yo
vosotras
vosotros
vuestro
vuestra
vuestros
vuestras
